_photoshopserver._tcp.local # Adobe Photoshop Nav
_physicalweb._tcp.local     # Physical Web, Google
_rsp._tcp.local             # Roku Server Protocol
_servermgr._tcp.local       # Server Admin, Apple
_xserveraid._tcp.local      # Xserve RAID, Apple
_bowtie._tcp.local          # Bowtie Remote
_bttremote._tcp.local       # Bowtie Remote
_bttouch._tcp.local         # Bowtie Remote
_cros_p2p._tcp.local        #
_dlaccess._tcp.local        # Daylite (?)
_dlattachmentd._tcp.local   # Daylite (?)
_gntp._tcp.local            # Growl server (?)
_http-alt._tcp.local        # HTTP server on alternative port
_fax-ipp._tcp.local         # FAX Printing
_odproxy._tcp.local         # Odproxy (?)
_remotemouse._tcp.local     # Remote Mouse (?)
_chat-files._tcp.local      # 
_ptService._tcp.local       #
_qmobile._tcp.local         #
_qdiscover._tcp.local       #
